Dist #,District,Schl #,School Name,White,Black or African-American,Hispanic/Latino,Asian,American Indian or Alaska Native,Native Hawaiian or Other Pacific Islander,Two or More Races
06,BROWARD,0151,RIVERLAND ELEMENTARY SCHOOL,12,14,14,1,0,0,0
06,BROWARD,0161,WEST HOLLYWOOD ELEMENTARY SCHOOL,15,5,18,0,0,0,0
06,BROWARD,0171,SOUTH BROWARD HIGH SCHOOL,48,30,17,3,0,0,0
06,BROWARD,0185,POMPANO BEACH INSTITUTE OF INTERNATIONAL STUDIES,38,9,7,2,0,0,2
06,BROWARD,0191,WILTON MANORS ELEMENTARY SCHOOL,34,5,4,0,0,0,0
06,BROWARD,0201,BENNETT ELEMENTARY SCHOOL,24,5,3,0,0,0,1
06,BROWARD,0211,STRANAHAN HIGH SCHOOL,23,25,12,1,0,0,4
06,BROWARD,0221,CROISSANT PARK ELEMENTARY SCHOOL,33,10,4,0,0,0,1
06,BROWARD,0231,COLBERT ELEMENTARY SCHOOL,21,17,9,0,0,0,2
06,BROWARD,0241,MCARTHUR HIGH SCHOOL,31,40,23,2,0,0,4
06,BROWARD,0251,SUNRISE MIDDLE SCHOOL,30,28,9,0,0,1,1
06,BROWARD,0271,DILLARD ELEMENTARY SCHOOL,2,46,2,0,0,0,0
06,BROWARD,0321,WALKER ELEMENTARY SCHOOL (MAGNET),16,18,10,2,0,0,2
06,BROWARD,0331,COLLINS ELEMENTARY SCHOOL,7,13,3,1,0,0,0
06,BROWARD,0341,BETHUNE MARY M ELEMENTARY SCHOOL,18,10,14,1,0,0,1
06,BROWARD,0343,ATTUCKS MIDDLE SCHOOL,5,27,6,1,0,0,0
06,BROWARD,0361,BLANCHE ELY HIGH SCHOOL,24,58,12,2,0,0,0
06,BROWARD,0371,DILLARD  6-12,18,85,8,2,0,0,0
06,BROWARD,0391,DEERFIELD PARK ELEMENTARY SCHOOL,5,27,3,0,1,1,0
06,BROWARD,0403,HALLANDALE HIGH SCHOOL,10,43,7,1,0,0,0
06,BROWARD,0405,LANIER-JAMES EDUCATION CENTER,4,14,3,0,0,0,0
